,Bacteria_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_parasanguinis_clade_411,Bacteria_Proteobacteria_Betaproteobacteria_Neisseriales_Neisseriaceae_Neisseria_NA,Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_veroralis,Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_sp._HMT_180,Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_Rothia_aeria,Bacteria_Firmicutes_Bacilli_Bacillales_Gemellaceae_Gemella_morbillorum,Bacteria_Firmicutes_Negativicutes_Veillonellales_Veillonellaceae_Veillonella_rogosae,Bacteria_Firmicutes_Bacilli_Lactobacillales_Aerococcaceae_Abiotrophia_defectiva,Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_[XIV]_Lachnoanaerobaculum_umeaense,Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_[XIV]_Lachnospiraceae_[G-2]_bacterium_HMT_096,Bacteria_Proteobacteria_Betaproteobacteria_Neisseriales_Neisseriaceae_Neisseria_oralis,Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_nigrescens,Bacteria_Actinobacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium_durum,Bacteria_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Capnocytophaga_leadbetteri,Bacteria_Proteobacteria_Betaproteobacteria_Neisseriales_Neisseriaceae_Neisseria_cinerea,Bacteria_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Capnocytophaga_granulosa,Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_iners,Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_intermedia,Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Alloprevotella_tannerae
SRR6751459,1367,0,244,283,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7
SRR6751458,1040,0,132,125,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0
SRR6751260,343,287,11,333,308,17,275,10,77,0,0,0,205,37,0,51,0,0,0
SRR6751261,914,0,0,76,0,14,0,53,0,0,0,0,0,0,0,0,0,0,0
SRR6751525,43,0,0,250,0,0,203,13,36,0,0,0,7,4,0,0,0,0,0
SRR6751526,447,0,0,333,0,133,0,65,0,0,0,0,82,20,0,54,0,0,0
SRR6751237,1541,52,208,499,15,7,0,0,0,16,50,0,0,0,0,25,0,0,18
SRR6751238,287,80,31,155,37,79,80,661,32,4,0,16,41,19,0,0,0,0,0
SRR6751235,471,0,80,48,126,15,0,46,9,15,58,0,7,52,0,113,0,0,3
SRR6751236,1599,0,54,96,0,13,0,18,0,0,11,41,24,19,0,0,0,0,0
SRR6751233,477,0,307,554,31,36,31,139,15,367,28,6,48,36,0,42,0,0,0
SRR6751234,262,42,39,23,40,33,113,11,30,0,29,0,3,104,0,0,0,17,0
SRR6751647,82,1207,10,255,114,4,324,140,29,13,0,7,67,26,0,0,0,0,4
SRR6751648,693,122,56,133,9,68,0,196,13,17,9,4,0,60,0,26,0,0,4
SRR6751651,620,96,209,1473,18,180,244,0,32,85,0,12,10,10,0,0,0,0,17
SRR6751652,230,148,26,433,38,42,0,25,6,19,7,36,21,28,0,14,0,0,50
SRR6751649,312,59,45,248,0,39,85,96,25,35,13,3,36,19,0,0,0,0,0
SRR6751650,575,0,59,81,7,64,0,107,0,2,57,17,0,34,0,53,0,0,14
SRR6751655,605,211,17,212,81,163,173,58,65,0,309,0,20,0,0,0,0,2,45
SRR6751656,877,309,758,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6751653,793,0,123,171,18,112,0,0,10,0,0,23,0,0,0,0,0,0,10
SRR6751654,1000,0,226,120,0,0,0,27,4,5,0,0,0,0,0,0,0,23,12
SRR6751490,222,0,125,317,69,23,0,0,0,10,11,33,0,17,0,21,0,0,23
SRR6751489,127,120,0,78,149,202,165,49,0,0,108,11,21,120,0,82,0,0,0
SRR6751492,1369,5,8,0,0,0,0,31,0,0,0,4,0,5,0,0,0,0,0
SRR6751491,800,26,17,64,16,55,0,0,0,0,0,10,116,56,0,0,0,0,16
SRR6751494,182,255,0,182,52,129,240,61,24,5,0,9,76,58,0,110,0,65,3
SRR6751493,742,0,15,0,0,0,0,0,0,0,37,0,0,0,0,220,0,0,0
SRR6751496,1167,0,98,116,0,29,0,29,13,32,11,36,0,15,0,13,0,0,82
SRR6751495,879,284,58,93,0,244,121,44,11,0,0,8,21,46,0,21,0,0,0
SRR6751498,212,166,0,1218,31,411,104,1218,48,0,0,0,43,59,2,0,0,0,0
SRR6751497,107,0,242,552,28,101,238,70,50,90,23,44,46,15,0,0,0,0,19
SRR6751272,507,0,228,157,0,206,72,136,27,0,0,22,0,14,0,24,0,0,7
SRR6751273,477,95,57,776,26,43,79,25,17,31,0,26,33,24,0,36,0,0,30
SRR6751274,467,0,143,75,0,0,59,77,0,0,0,0,17,0,0,0,0,0,0
SRR6751275,527,428,168,513,43,24,0,16,21,89,0,11,56,19,0,0,0,0,0
SRR6751276,191,0,174,683,16,281,280,27,36,43,16,0,16,11,0,17,0,0,24
SRR6751277,597,0,112,352,23,0,0,0,24,0,0,6,7,135,0,0,0,0,6
SRR6751278,175,695,7,262,93,44,206,23,14,0,0,21,241,30,2,31,0,0,0
SRR6751279,201,0,0,522,98,204,134,55,9,18,45,0,34,26,0,102,0,83,39
SRR6751280,56,480,36,1658,18,101,633,98,52,0,11,25,6,0,0,0,0,0,5
SRR6751281,672,4,0,189,0,0,0,7,0,0,0,11,12,33,0,0,0,0,0
SRR6751145,1871,0,62,490,0,0,62,0,6,0,0,0,0,0,0,7,0,0,0
SRR6751144,42,0,0,30,23,0,0,215,25,2,0,0,32,23,0,0,0,32,0
SRR6751665,1022,167,65,752,55,0,0,0,13,37,0,0,79,0,0,0,0,0,0
SRR6751664,250,481,435,424,0,330,857,0,29,47,0,0,0,0,7,0,0,0,0
SRR6751663,179,456,0,333,29,135,67,43,14,46,62,47,88,14,0,27,0,0,7
SRR6751662,464,62,70,93,3,0,0,0,0,0,18,24,29,20,0,58,0,0,8
SRR6751134,394,539,9,376,0,0,35,0,0,15,0,0,17,0,9,0,0,0,0
SRR6751674,492,105,1282,219,0,0,49,21,18,9,0,11,0,2,0,0,0,0,0
SRR6751659,329,53,0,356,0,54,0,86,16,51,0,0,32,8,0,0,0,0,0
SRR6751658,18,0,0,5,37,0,0,205,0,0,0,58,190,0,8,0,0,0,0
SRR6751571,512,309,54,751,0,0,42,9,37,0,0,0,0,0,0,5,0,0,0
SRR6751572,1077,0,91,156,19,23,0,57,0,0,0,27,0,45,0,0,0,0,13
SRR6751579,797,0,238,849,0,16,0,32,0,82,13,0,0,7,0,0,0,0,0
SRR6751580,779,525,172,210,0,0,105,26,23,0,0,16,28,34,0,53,0,0,12
SRR6751577,1445,0,80,278,0,49,108,0,0,0,0,7,0,0,0,10,0,0,14
SRR6751578,503,154,0,193,0,4,0,0,0,0,0,0,0,25,0,0,0,0,13
SRR6751575,360,931,257,1149,67,19,160,0,20,413,0,0,8,0,3,6,0,0,192
SRR6751576,538,0,586,636,0,125,0,10,0,0,0,11,16,5,0,2,0,0,6
SRR6751573,157,188,184,989,22,16,294,17,49,0,0,0,17,16,6,27,0,0,41
SRR6751574,197,184,81,0,0,19,190,0,68,0,73,0,18,53,3,0,0,0,0
SRR6751431,595,855,0,74,0,0,139,0,0,0,0,0,0,0,122,0,0,0,0
SRR6751430,676,114,266,567,0,13,0,0,7,0,0,0,0,0,0,0,0,0,0
SRR6751437,908,130,185,396,22,0,52,0,2,0,0,0,5,0,0,0,0,0,0
SRR6751436,1307,0,23,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6751439,909,223,18,212,0,0,21,0,0,8,0,0,4,7,0,0,0,0,0
SRR6751438,1222,0,49,45,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
SRR6751433,468,1719,88,639,19,84,91,0,0,0,0,14,29,0,14,0,0,0,0
SRR6751432,462,1205,0,269,0,0,146,0,46,0,0,0,0,0,18,0,0,0,0
SRR6751435,2042,0,17,117,0,0,41,0,0,0,0,0,10,0,0,0,0,0,0
SRR6751434,511,0,337,688,0,36,82,49,19,0,23,53,62,16,0,22,0,0,0
SRR6751186,265,200,684,1391,0,0,79,15,11,0,0,0,0,6,0,0,0,0,0
SRR6751187,1018,0,140,272,235,17,0,0,13,0,0,26,0,0,0,0,0,0,4
SRR6751192,304,136,0,346,0,11,134,0,0,0,0,0,60,0,0,0,0,0,0
SRR6751193,679,0,125,52,0,0,0,0,0,0,0,0,19,29,0,40,0,0,0
SRR6751194,951,0,198,75,20,0,0,7,46,85,0,0,0,0,0,0,0,0,4
SRR6751195,48,539,35,425,0,52,120,0,40,0,0,21,20,46,9,0,0,105,55
SRR6751188,139,48,36,214,0,97,130,108,16,0,0,42,53,9,0,9,0,0,41
SRR6751189,480,0,83,609,0,0,143,34,47,14,0,0,16,0,3,40,0,0,0
SRR6751190,725,0,357,597,0,7,0,0,0,22,0,0,10,0,0,0,0,0,0
SRR6751191,1222,0,50,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
SRR6751605,299,345,131,679,81,57,0,84,21,0,0,0,24,60,88,0,0,0,7
SRR6751604,173,36,52,246,34,5,225,83,22,15,5,13,28,5,66,0,0,0,20
SRR6751609,392,204,45,107,384,0,0,0,15,97,466,0,195,0,2,0,0,0,0
SRR6751608,1141,30,107,1065,0,30,0,9,49,53,12,31,20,43,0,13,0,0,17
SRR6751607,107,568,0,89,59,29,158,57,25,0,154,0,62,23,0,0,0,0,0
SRR6751606,4435,9,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6751613,620,107,132,236,0,154,53,23,0,36,4,3,19,10,0,11,0,0,5
SRR6751612,795,24,62,329,0,0,3,32,0,0,33,0,0,0,0,0,0,0,0
SRR6751611,1186,0,72,57,0,0,3,0,0,0,0,0,64,0,0,0,0,0,0
SRR6751610,877,474,39,159,0,0,170,0,16,0,22,0,0,0,0,0,0,0,31
SRR6751327,860,17,28,342,17,0,101,0,42,10,0,0,13,0,0,0,0,0,11
SRR6751333,221,204,26,31,0,0,146,0,26,3,0,0,0,0,0,0,0,0,0
SRR6751511,1181,11,424,1089,22,0,0,35,0,189,0,2,12,4,0,0,0,0,7
SRR6751512,951,0,468,31,0,0,0,18,44,0,0,27,10,0,0,0,0,0,4
SRR6751509,335,192,12,260,18,73,257,42,16,10,20,17,0,28,0,0,0,0,15
SRR6751510,1233,89,154,57,84,0,0,0,0,0,1177,17,16,0,0,0,0,0,30
SRR6751515,1630,0,90,350,3,54,0,0,26,0,0,0,10,0,0,0,0,0,4
SRR6751516,726,4,0,26,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
SRR6751303,1718,0,85,0,0,0,0,15,0,0,0,0,3,0,0,4,0,0,0
SRR6751304,558,102,522,693,0,15,79,16,15,67,7,0,22,23,0,0,0,0,0
SRR6751370,1138,0,0,0,0,5,0,144,9,13,102,2,3,0,0,8,0,0,0
SRR6751369,621,0,295,71,0,0,0,17,0,4,0,10,15,20,12,16,3,0,0
SRR6751361,1097,53,36,1004,0,2,192,0,87,32,0,0,18,0,0,0,0,0,0
SRR6751360,406,0,19,250,0,99,429,0,21,0,0,0,11,7,0,0,0,0,0
SRR6751363,780,0,57,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
SRR6751362,1130,236,448,1002,0,12,102,0,13,247,0,4,12,13,0,0,0,0,13
SRR6751365,388,53,58,115,0,20,15,0,0,22,0,0,0,0,0,0,0,0,0
SRR6751364,333,21,53,352,66,0,79,11,13,18,2,0,30,0,0,11,0,0,0
SRR6751367,270,187,634,546,19,73,108,25,20,121,0,0,41,6,0,0,0,0,6
SRR6751366,910,76,0,288,0,20,16,10,70,3,0,0,42,51,146,0,0,0,0
SRR6751150,347,866,58,287,0,0,54,0,0,0,18,0,16,32,76,0,0,0,19
SRR6751149,259,58,77,266,34,228,99,46,27,5,0,18,38,64,3,50,0,73,15
SRR6751160,38,32,0,357,0,0,428,11,50,6,3,0,0,0,20,0,0,23,29
SRR6751159,84,166,12,234,43,128,399,31,60,0,0,3,25,35,0,0,0,0,0
SRR6751158,757,38,1090,73,29,0,0,0,0,0,36,0,0,0,3,0,0,0,0
SRR6751157,738,18,324,207,25,0,107,0,0,21,0,6,4,21,0,19,0,0,19
SRR6751156,311,357,25,27,0,0,37,21,14,0,0,0,8,8,0,0,0,0,0
SRR6751155,198,134,53,84,0,20,53,92,17,0,0,3,0,24,0,0,0,0,0
SRR6751154,247,0,797,203,0,10,110,108,35,43,0,172,7,24,181,20,0,0,0
SRR6751153,654,87,137,752,22,5,0,0,0,58,31,0,0,0,0,5,0,0,0
SRR6751329,1006,476,49,409,0,21,87,0,22,7,0,3,0,0,0,0,0,0,0
SRR6751330,710,0,43,255,16,83,14,4,0,7,0,20,65,0,0,2,0,16,19
SRR6751315,688,478,45,447,0,8,103,0,28,20,0,0,0,11,0,6,0,0,0
SRR6751316,297,83,98,231,0,0,132,0,0,0,0,18,0,0,0,0,0,0,24
SRR6751317,2388,0,110,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6751318,571,0,1079,507,0,0,0,0,0,130,0,0,11,26,94,0,0,0,9
SRR6751319,474,298,250,167,0,197,0,43,0,22,0,0,16,23,0,38,0,0,14
SRR6751320,1420,111,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6751321,512,0,736,0,0,0,0,0,0,0,0,21,20,0,0,0,0,0,0
SRR6751322,1117,0,75,667,0,0,0,0,0,0,0,46,0,0,0,28,0,0,21
SRR6751290,278,758,468,578,0,0,260,0,20,31,0,0,58,13,8,21,0,0,0
SRR6751283,743,97,42,907,0,57,216,58,43,0,0,0,9,11,0,19,0,0,0
