,Bacteria_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_parasanguinis_clade_411,Bacteria_Proteobacteria_Betaproteobacteria_Neisseriales_Neisseriaceae_Neisseria_NA,Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_veroralis,Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_sp._HMT_180,Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_Rothia_aeria,Bacteria_Firmicutes_Bacilli_Bacillales_Gemellaceae_Gemella_morbillorum,Bacteria_Firmicutes_Negativicutes_Veillonellales_Veillonellaceae_Veillonella_rogosae,Bacteria_Firmicutes_Bacilli_Lactobacillales_Aerococcaceae_Abiotrophia_defectiva,Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_[XIV]_Lachnoanaerobaculum_umeaense,Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_[XIV]_Lachnospiraceae_[G-2]_bacterium_HMT_096,Bacteria_Proteobacteria_Betaproteobacteria_Neisseriales_Neisseriaceae_Neisseria_oralis,Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_nigrescens,Bacteria_Actinobacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium_durum,Bacteria_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Capnocytophaga_leadbetteri,Bacteria_Proteobacteria_Betaproteobacteria_Neisseriales_Neisseriaceae_Neisseria_cinerea,Bacteria_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Capnocytophaga_granulosa,Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_iners,Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_intermedia,Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Alloprevotella_tannerae
SRR6751372,828,0,125,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6751371,483,32,108,256,0,40,117,41,0,24,0,0,168,0,0,0,0,0,0
SRR6751368,1288,158,209,60,13,9,0,0,0,17,0,0,0,0,18,22,0,0,0
SRR6751199,922,38,0,155,0,0,164,0,0,72,0,0,0,0,0,0,0,0,0
SRR6751488,400,616,0,99,236,20,0,70,14,0,110,0,28,21,0,0,0,0,0
SRR6751464,514,6,69,0,0,6,0,0,0,0,0,0,14,0,0,0,0,0,0
SRR6751465,789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6751143,255,90,0,141,0,0,0,0,53,13,34,0,0,0,62,0,0,0,0
SRR6751241,1241,47,202,132,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6751421,290,189,0,61,0,0,121,0,19,0,29,0,10,0,0,0,0,0,0
SRR6751427,474,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6751223,142,124,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6751224,805,0,938,333,0,0,0,41,0,37,0,0,0,0,0,0,0,0,0
SRR6751152,929,93,707,69,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0
SRR6751151,538,0,0,213,24,0,0,0,0,0,0,0,14,0,0,0,0,0,0
SRR6751614,205,39,0,74,0,30,0,0,0,0,0,0,0,0,0,0,0,0,8
SRR6751403,567,0,183,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2
SRR6751631,498,247,23,0,95,38,0,49,0,0,99,0,0,0,0,0,0,0,0
SRR6751621,750,26,89,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
SRR6751570,478,0,0,186,0,0,160,0,35,0,0,0,117,0,0,33,0,83,0
SRR6751565,284,0,11,0,116,173,0,0,0,0,0,0,29,20,0,0,0,0,0
SRR6751402,603,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6751400,722,0,0,66,0,20,189,0,13,15,0,0,12,0,0,0,0,0,0
SRR6751547,407,0,14,37,0,0,0,0,0,0,0,0,11,0,0,38,0,0,0
SRR6751548,113,702,13,123,0,10,94,0,44,5,0,0,150,0,19,0,0,0,0
SRR6751549,146,1386,414,108,0,0,0,0,0,10,0,0,0,0,36,0,0,0,0
SRR6751550,44,0,70,73,0,0,0,29,0,0,0,0,0,0,0,18,0,16,15
SRR6751551,170,116,85,253,0,0,0,10,4,72,0,17,0,0,0,0,0,0,7
SRR6751552,376,0,79,172,0,14,0,0,0,31,0,0,0,0,0,0,0,0,0
SRR6751553,0,81,0,124,0,63,265,56,31,0,0,32,0,0,13,0,0,0,18
SRR6751554,436,30,0,132,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
SRR6751555,162,809,0,77,0,133,259,0,8,0,0,0,0,0,0,0,0,0,0
SRR6751556,414,56,832,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6751212,223,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
SRR6751210,1164,20,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,13
SRR6751411,328,0,35,0,0,6,0,0,0,7,0,0,0,77,154,81,0,0,18
SRR6751410,496,238,0,156,0,0,114,8,0,0,0,0,0,0,0,0,0,0,0
SRR6751409,0,235,0,199,0,146,0,0,0,0,0,0,0,59,0,0,0,0,0
SRR6751408,459,0,0,162,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
SRR6751198,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0
SRR6751196,241,0,0,0,57,0,0,0,0,16,71,0,3,0,22,0,0,0,0
SRR6751405,2448,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6751404,127,0,43,0,28,9,0,0,0,0,0,11,0,76,0,0,0,0,0
SRR6751357,362,39,0,128,0,0,0,0,19,0,0,0,0,0,0,39,0,0,0
SRR6751355,0,198,0,0,202,44,0,74,4,0,0,16,7,0,0,0,0,0,0
SRR6751249,0,0,0,215,0,0,189,93,45,0,214,0,0,53,527,31,0,0,0
SRR6751248,906,20,93,128,0,159,0,0,0,0,0,9,33,0,0,0,0,0,0
SRR6751344,403,59,0,140,0,90,306,0,18,0,0,11,18,0,0,0,0,73,15
SRR6751343,167,672,29,159,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
SRR6751245,2614,74,0,63,22,0,44,0,6,0,0,11,10,9,0,0,0,0,0
SRR6751342,652,0,0,401,0,16,0,0,0,0,0,0,27,0,0,0,0,0,0
SRR6751247,846,149,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6751246,0,45,42,50,46,75,57,0,20,0,0,0,8,33,12,35,0,0,15
SRR6751603,207,20,27,162,0,0,0,0,4,41,0,0,0,0,0,0,0,0,0
SRR6751615,2106,0,770,366,0,0,0,0,0,52,0,21,0,0,0,0,0,0,0
SRR6751390,437,289,196,88,0,0,9,0,0,94,0,0,0,0,0,0,0,0,0
SRR6751391,694,0,0,54,0,0,28,0,0,37,0,0,0,0,0,0,0,0,0
SRR6751388,2164,0,173,666,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
SRR6751389,1348,0,105,0,0,0,0,0,10,28,0,0,0,0,0,0,0,0,0
SRR6751386,278,93,94,157,0,13,0,8,23,0,0,0,24,0,0,19,0,0,0
SRR6751387,487,243,85,207,0,0,0,0,0,22,0,19,10,22,0,0,0,0,0
SRR6751146,178,413,68,263,0,4,0,2,0,0,227,9,9,0,0,0,0,0,0
SRR6751147,1026,62,553,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6751263,1527,0,67,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6751262,1430,116,510,69,0,0,0,16,0,34,0,0,31,13,0,19,0,0,0
SRR6751267,816,0,94,0,0,14,0,0,0,0,12,32,0,0,0,0,0,69,0
SRR6751266,272,359,0,347,115,0,90,0,16,0,0,3,246,52,0,22,0,0,0
SRR6751265,209,200,57,51,0,0,0,0,0,30,7,0,0,0,0,0,0,0,0
SRR6751264,398,0,136,321,54,0,0,0,0,20,150,0,0,0,0,0,0,0,0
SRR6751271,0,377,0,40,85,2,33,59,0,0,0,0,0,0,0,0,0,0,0
SRR6751270,710,0,500,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6751269,979,36,0,88,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
SRR6751268,1478,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6751406,0,188,0,136,0,142,96,47,18,15,0,0,31,0,0,0,0,0,0
SRR6751407,2975,22,0,115,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0
SRR6751416,101,194,0,223,0,0,301,0,0,0,0,0,0,0,0,0,0,91,23
SRR6751417,177,0,0,0,0,0,177,67,0,0,0,0,0,2,0,0,0,0,0
SRR6751418,0,15,28,251,0,45,163,34,55,9,0,0,44,0,0,26,0,0,0
SRR6751419,423,13,170,218,0,0,80,0,33,0,0,12,9,0,6,0,0,0,0
SRR6751412,1350,0,0,211,0,0,0,52,0,0,0,0,7,14,0,16,0,0,0
SRR6751413,345,450,0,89,44,0,186,0,0,0,0,4,32,0,0,0,0,0,0
SRR6751414,899,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6751415,338,0,0,0,46,4,0,0,0,0,0,0,0,0,0,15,0,0,0
SRR6751569,623,148,107,66,0,51,182,0,0,37,0,25,159,0,0,0,0,0,7
SRR6751568,411,0,0,15,0,46,0,19,0,0,0,0,3,42,0,45,0,0,0
SRR6751293,728,386,55,78,0,3,0,25,0,0,0,0,0,0,0,20,0,0,0
SRR6751292,418,612,0,99,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
SRR6751598,957,117,49,58,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0
SRR6751597,918,0,867,479,0,7,137,0,24,119,0,0,4,0,0,0,0,0,3
SRR6751600,175,365,36,201,0,66,0,0,0,0,0,7,0,0,2,0,0,0,4
SRR6751599,0,1506,51,345,75,48,190,45,33,12,37,0,35,0,0,24,0,0,8
SRR6751602,76,12,135,272,77,0,46,67,2,7,132,0,20,17,0,10,0,0,23
SRR6751601,570,0,100,44,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0
SRR6751171,156,82,134,221,0,336,61,14,0,87,0,2,0,36,0,15,0,0,0
SRR6751172,337,0,51,0,68,0,0,0,0,0,0,0,5,0,0,7,0,0,0
SRR6751423,95,0,152,105,2,143,0,16,18,42,0,93,0,20,0,5,0,0,127
SRR6751424,1129,0,628,833,0,0,0,0,0,275,4,0,0,0,0,0,0,3,0
SRR6751657,518,15,756,296,0,0,0,2,11,51,0,4,0,0,0,4,0,0,0
SRR6751422,612,0,3500,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6751148,191,181,256,91,22,33,0,18,13,79,35,0,0,0,88,11,0,25,14
SRR6751429,676,24,73,394,28,0,0,0,0,0,0,6,5,14,0,0,0,0,0
SRR6751425,1505,7,0,92,0,9,0,0,0,0,0,18,0,0,0,0,0,0,12
SRR6751426,209,157,66,112,0,16,0,51,20,21,0,15,20,0,0,27,0,0,3
SRR6751340,426,0,0,250,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
SRR6751339,1170,69,555,10,0,0,0,0,0,57,39,0,0,0,0,0,0,0,10
SRR6751338,448,2620,0,343,0,12,0,0,0,0,0,0,10,31,21,27,0,0,0
SRR6751337,699,173,118,245,0,0,0,0,16,15,0,4,0,8,6,0,0,0,0
SRR6751336,1729,207,11,241,0,36,41,17,9,3,11,0,0,27,0,0,0,49,9
SRR6751335,200,0,14,32,46,0,63,35,16,0,0,0,12,0,0,0,0,0,0
SRR6751334,1234,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6751244,1379,716,215,281,0,0,0,12,0,33,0,0,0,0,0,0,0,0,0
SRR6751332,451,0,50,65,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0
SRR6751331,557,0,956,44,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0
SRR6751478,62,0,0,0,0,0,36,130,30,13,0,0,9,29,8,0,0,0,0
SRR6751479,284,202,25,48,46,2,0,15,0,3,0,0,71,0,0,0,0,0,0
SRR6751616,4679,7,0,97,0,0,0,0,0,0,0,0,0,2,0,0,0,0,11
SRR6751617,33,0,0,41,0,100,0,0,0,0,0,0,0,75,0,25,0,36,0
SRR6751618,257,68,297,350,41,16,49,27,13,4,0,4,31,0,5,0,0,11,4
SRR6751619,707,59,85,205,0,8,86,17,13,14,5,16,11,28,0,37,0,0,0
SRR6751620,632,0,329,68,0,14,0,0,0,0,0,5,0,0,0,0,0,0,6
SRR6751622,1230,111,291,740,0,3,0,0,31,8,0,8,0,0,0,0,0,0,0
SRR6751623,352,127,17,109,11,25,0,66,12,0,0,21,13,15,0,0,0,0,9
SRR6751624,384,146,0,480,64,0,0,26,12,0,7,10,2,11,0,23,0,0,0
SRR6751638,458,0,14,122,0,0,0,27,0,0,0,0,0,0,8,0,0,0,0
SRR6751637,189,113,77,25,0,0,0,14,0,80,7,0,0,0,0,0,0,0,0
SRR6751460,876,0,0,144,146,0,0,64,0,9,407,10,6,19,0,24,0,0,0
SRR6751463,721,0,38,157,0,0,23,35,0,4,0,0,0,0,0,0,0,0,0
SRR6751462,431,378,31,153,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6751457,103,0,0,58,0,65,56,83,0,12,0,10,6,0,93,35,0,0,0
SRR6751456,948,0,57,2447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
