,fold,model,mcc,auc,type
0,0,LR,0.1824584653,0.718230897,DEFAULT
3,1,LR,0.0979869536,0.7462624585,DEFAULT
6,2,LR,0.1333383746,0.7469247832,DEFAULT
9,3,LR,0.1479931659,0.7829991646,DEFAULT
12,4,LR,0.1550841749,0.6562238931,DEFAULT
0,0,KNN,0.2680719311,0.6623754153,DEFAULT
3,1,KNN,0.1870446633,0.6554194352,DEFAULT
6,2,KNN,0.2183014781,0.7091147409,DEFAULT
9,3,KNN,0.2114741465,0.6860902256,DEFAULT
12,4,KNN,0.1550841749,0.5479323308,DEFAULT
0,0,DT,0.2759277429,0.7878945183,DEFAULT
3,1,DT,0,0.648255814,DEFAULT
6,2,DT,0.099403342,0.6453922162,DEFAULT
9,3,DT,0.3024197539,0.7160609858,DEFAULT
12,4,DT,0.2127712904,0.6591478697,DEFAULT
0,0,SVMR,-0.0286014634,0.7333887043,DEFAULT
3,1,SVMR,0,0.6281146179,DEFAULT
6,2,SVMR,0,0.6180681589,DEFAULT
9,3,SVMR,0,0.7226399332,DEFAULT
12,4,SVMR,0,0.6370091896,DEFAULT
0,0,SVML,0,0.7093023256,DEFAULT
3,1,SVML,0,0.7134551495,DEFAULT
6,2,SVML,0,0.6717080056,DEFAULT
9,3,SVML,0,0.7134502924,DEFAULT
12,4,SVML,0,0.682748538,DEFAULT
0,0,RF,0.11521166,0.6862541528,DEFAULT
3,1,RF,0.2186933668,0.6967400332,DEFAULT
6,2,RF,0.0753414439,0.6902601331,DEFAULT
9,3,RF,0.3024197539,0.6623851295,DEFAULT
12,4,RF,0.0796296238,0.7807017544,DEFAULT
0,0,XG,0.1438374649,0.6268687708,DEFAULT
3,1,XG,-0.0658627013,0.4908637874,DEFAULT
6,2,XG,0.1846093838,0.744303287,DEFAULT
9,3,XG,0.1147240347,0.657059315,DEFAULT
12,4,XG,0.2127712904,0.6954887218,DEFAULT
0,0,LR,0.2684519085,0.7647425249,ADASYN_over
3,1,LR,0.2864644354,0.7443936877,ADASYN_over
6,2,LR,0.2446697743,0.7231296632,ADASYN_over
9,3,LR,0.2718122712,0.7474937343,ADASYN_over
12,4,LR,0.3123429155,0.742481203,ADASYN_over
0,0,KNN,0.2021840803,0.6330980066,ADASYN_over
3,1,KNN,0.2091668218,0.6690199336,ADASYN_over
6,2,KNN,0.0609210622,0.5905424481,ADASYN_over
9,3,KNN,0.1398223024,0.6242690058,ADASYN_over
12,4,KNN,0.1371901214,0.6468253968,ADASYN_over
0,0,DT,0.2148404473,0.6308139535,ADASYN_over
3,1,DT,0.1815161225,0.6469061462,ADASYN_over
6,2,DT,0.1952242882,0.6444847752,ADASYN_over
9,3,DT,0.2405718428,0.6236424394,ADASYN_over
12,4,DT,0.0407599892,0.5694444444,ADASYN_over
0,0,SVMR,0.3297422985,0.7641196013,ADASYN_over
3,1,SVMR,0.3383639476,0.7574750831,ADASYN_over
6,2,SVMR,0.4121401639,0.816091954,ADASYN_over
9,3,SVMR,0.1377213643,0.6123642439,ADASYN_over
12,4,SVMR,0.2198438044,0.6939223058,ADASYN_over
0,0,SVML,0.3018688822,0.7552948505,ADASYN_over
3,1,SVML,0.3393559559,0.7973421927,ADASYN_over
6,2,SVML,0.352541927,0.771728171,ADASYN_over
9,3,SVML,0.2582619346,0.73893066,ADASYN_over
