.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif,y.position,groups,xmin,xmax
mcc,ADASYN_both,ADASYN_over,50,50,1253.5,0.983,0.983,ns,0.57904,ADASYN_both|ADASYN_over,1,2
mcc,ADASYN_both,DEFAULT,50,50,2500,3.31e-20,9.93e-20,****,0.645511428571429,ADASYN_both|DEFAULT,1,3
mcc,ADASYN_both,SMOTE_both,50,50,1163.5,0.553,0.799,ns,0.711982857142857,ADASYN_both|SMOTE_both,1,4
mcc,ADASYN_both,SMOTE_over,50,50,1105,0.319,0.739,ns,0.778454285714286,ADASYN_both|SMOTE_over,1,5
mcc,ADASYN_both,TADA,50,50,1181.5,0.639,0.799,ns,0.844925714285714,ADASYN_both|TADA,1,6
mcc,ADASYN_over,DEFAULT,50,50,2500,3.31e-20,9.93e-20,****,0.911397142857143,ADASYN_over|DEFAULT,2,3
mcc,ADASYN_over,SMOTE_both,50,50,1147.5,0.482,0.799,ns,0.977868571428571,ADASYN_over|SMOTE_both,2,4
mcc,ADASYN_over,SMOTE_over,50,50,1112.5,0.345,0.739,ns,1.04434,ADASYN_over|SMOTE_over,2,5
mcc,ADASYN_over,TADA,50,50,1174.5,0.605,0.799,ns,1.11081142857143,ADASYN_over|TADA,2,6
mcc,DEFAULT,SMOTE_both,50,50,0,3.31e-20,9.93e-20,****,1.17728285714286,DEFAULT|SMOTE_both,3,4
mcc,DEFAULT,SMOTE_over,50,50,0,3.31e-20,9.93e-20,****,1.24375428571429,DEFAULT|SMOTE_over,3,5
mcc,DEFAULT,TADA,50,50,0,3.31e-20,9.93e-20,****,1.31022571428571,DEFAULT|TADA,3,6
mcc,SMOTE_both,SMOTE_over,50,50,1196.5,0.715,0.825,ns,1.37669714285714,SMOTE_both|SMOTE_over,4,5
mcc,SMOTE_both,TADA,50,50,1269.5,0.896,0.96,ns,1.44316857142857,SMOTE_both|TADA,4,6
mcc,SMOTE_over,TADA,50,50,1320.5,0.629,0.799,ns,1.50964,SMOTE_over|TADA,5,6
